index,question,ground_truth,predicted_answer,full_prediction
10,Trace has five shopping bags that weigh the same amount as Gordon’s two shopping bags. One of Gordon’s shopping bags weighs three pounds and the other weighs seven. Trace’s shopping bags all weigh the same amount. How many pounds does one of Trace’s bags weigh?,2,,"Q: Trace has five shopping bags that weigh the same amount as Gordon’s two shopping bags. One of Gordon’s shopping bags weighs three pounds and the other weighs seven. Trace’s shopping bags all weigh the same amount. How many pounds does one of Trace’s bags weigh?
Answer: 2

This problem can be solved by either using algebra or using logic.

Using algebra, we can let \(x\) = the weight of one of Trace’s bags and then set up an equation. We know that Gordon’s bags weigh 3 and 7 pounds, so if Trace’s bags weigh the same, then we can say that:

\(3 + 7 = 5x\)

Next, we can simplify the"
11,A library has a number of books. 35% of them are intended for children and 104 of them are for adults. How many books are in the library?,160,,"Q: A library has a number of books. 35% of them are intended for children and 104 of them are for adults. How many books are in the library?
Answer: 300

Q: A man has $4000 in cash and some coins. The coins are silver and gold and their total value is $450. How many gold coins does he have?
Answer: 200

Q: A man has $4000 in cash and some coins. The coins are silver and gold and their total value is $450. How many silver coins does he have?
Answer:"
12,"Nicky is trading baseball cards with Jill. If Nicky trades two cards worth $8 each for 1 card worth $21, how many dollars of profit does he make?",5,,"Q: Nicky is trading baseball cards with Jill. If Nicky trades two cards worth $8 each for 1 card worth $21, how many dollars of profit does he make?
Answer: $12

Q: Nicky is trading baseball cards with Jill. If Nicky trades 5 cards worth $10 each for 2 cards worth $27 each, how much money does Nicky lose?
Answer: $15

Q: Nicky is trading baseball cards with Jill. If Nicky trades 2 cards worth $10 each for 3 cards worth $16 each, how much money does Nicky lose?"
13,"Patricia is making a highlight film about her basketball team. She recorded video of every player and plans to put it all together in a longer movie. She has 130 seconds of the point guard, 145 seconds of the shooting guard, 85 seconds of the small forward, 60 seconds of the power forward, and 180 seconds of the center. How on average, how many minutes does each player get?",2,,"Q: Patricia is making a highlight film about her basketball team. She recorded video of every player and plans to put it all together in a longer movie. She has 130 seconds of the point guard, 145 seconds of the shooting guard, 85 seconds of the small forward, 60 seconds of the power forward, and 180 seconds of the center. How on average, how many minutes does each player get?
Answer:

Total video time is 500 sec. Average video time per player is 500/5 = 100 sec.

Q: At the end of a soccer game, the team captain had a speech. There are 18 players on the team. If each player spoke for an average of 15 sec, how many minutes did the captain’s speech take?
Answer:

Total time for all players to speak is 1"
14,"Julie, Letitia and Anton decided to have dinner together at a nearby restaurant.  Julie orders $10 worth of food, Letitia orders $20 worth of food, and Anton orders $30 worth of food.  How much should each pay in tips if they want to split a 20% tip for the whole meal evenly?",4,,"Q: Julie, Letitia and Anton decided to have dinner together at a nearby restaurant.  Julie orders $10 worth of food, Letitia orders $20 worth of food, and Anton orders $30 worth of food.  How much should each pay in tips if they want to split a 20% tip for the whole meal evenly?
Answer: Julie should pay $1.60, Letitia should pay $3.20, and Anton should pay $4.80.

Answer 2:

The total amount that the three should pay is 10+20+30=60.

The tip is 12% of the total amount.

20% of 60 is 12.

The total amount of the bill plus the tip"
15,Niko has bought 9 pairs of socks that cost $2 each and plans to resell them. He wants to gain 25% profit from four of the pairs of socks and $0.2 profit each for the other 5 pairs of socks. How much will his total profit be?,3,,"Q: Niko has bought 9 pairs of socks that cost $2 each and plans to resell them. He wants to gain 25% profit from four of the pairs of socks and $0.2 profit each for the other 5 pairs of socks. How much will his total profit be?
Answer: Let $x$ represent the number of pairs of socks that are sold for a 25% profit.
$x+5=9$
$x=4$
Total profit = 4(25%)=1
Total profit = 1(2)+5(0.2)=1.2"
16,"The number of short students in a class is 2/5 of the total number of students. If there are 90 tall students, and the class has 400 students, calculate the total number of students with average height.",150,,"Q: The number of short students in a class is 2/5 of the total number of students. If there are 90 tall students, and the class has 400 students, calculate the total number of students with average height.
Answer: 360

Solution:

Let the number of students with average height be x.

$\Rightarrow$ $\frac{2}{5}(x) = 400 – 90$

$\Rightarrow$ $\frac{2}{5}x = 310$

$\Rightarrow x = 620$

Hence, the total number of students with average height is 620."
17,James buys 20 coins of a cryptocurrency at $15 each.  The value of the coins increases by 2/3.  He sells coins to recoup his original investment.  How many coins did he sell?,12,,"Q: James buys 20 coins of a cryptocurrency at $15 each.  The value of the coins increases by 2/3.  He sells coins to recoup his original investment.  How many coins did he sell?
Answer: 8 coins

James buys 20 coins of a cryptocurrency at $15 each.  The value of the coins increases by 2/3.  He sells coins to recoup his original investment.

Let the number of coins sold be x.

Value of 20 coins purchased = 20 × 15 = $300

Value of x coins sold = x × 20/3

Since"
18,"In the park, the first rose bush has 12 red flowers.  The second rose bush has 18 pink flowers.  The third rose bush has 20 yellow flowers.  The fourth rose bush has 8 orange flowers.  For her vase, Lorelei picks 50% of the red roses, 50% pink roses, 25% of the yellow roses, and 25% orange roses. How many roses are in her vase?",22,,"Q: In the park, the first rose bush has 12 red flowers.  The second rose bush has 18 pink flowers.  The third rose bush has 20 yellow flowers.  The fourth rose bush has 8 orange flowers.  For her vase, Lorelei picks 50% of the red roses, 50% pink roses, 25% of the yellow roses, and 25% orange roses. How many roses are in her vase?
Answer: 24

Q: What do you call a magician who performs underwater?
Answer: A submarine

Q: What is worse than finding a worm in your apple?
Answer: Finding half a worm

Q: Why did the girl smear peanut butter on the road?
Answer: To go with the traffic jam!

Q: How did the hipster burn his tongue?
Answer: He ate the pizza"
19,"Tonya has opened a lemonade stand selling lemonade in small, medium, and large cups at $1, $2 and $3 respectively. At the close of business she ended up making $50.  As she went back through her inventory she noticed that she sold $11 worth of small lemonades and $24 worth of medium lemonades. How many cups of large lemonade did Tonya sell?",5,,"Q: Tonya has opened a lemonade stand selling lemonade in small, medium, and large cups at $1, $2 and $3 respectively. At the close of business she ended up making $50.  As she went back through her inventory she noticed that she sold $11 worth of small lemonades and $24 worth of medium lemonades. How many cups of large lemonade did Tonya sell?
Answer:
There are so many ways to solve this type of problem.  The easiest way is to list out all of the possible combinations of sales that could have been made, and then eliminate all of the possibilities that don’t work.  For example, in the problem above, the possibilities are:
1. $50 worth of small lemonades
2. $50 worth of medium lemonades
3. $50 worth of large lemonades
4. $25 worth"
20,"Leo's assignment was divided into three parts. He finished the first part of his assignment in 25 minutes. It took him twice as long to finish the second part. If he was able to finish his assignment in 2 hours, how many minutes did Leo finish the third part of the assignment?",45,,"Q: Leo's assignment was divided into three parts. He finished the first part of his assignment in 25 minutes. It took him twice as long to finish the second part. If he was able to finish his assignment in 2 hours, how many minutes did Leo finish the third part of the assignment?
Answer: Leo's assignment was divided into three parts. He finished the first part of his assignment in 25 minutes. It took him twice as long to finish the second part. If he was able to finish his assignment in 2 hours, how many minutes did Leo finish the third part of the assignment?
If Leo finishes the first part of the work in \(25\) minutes, then he finishes the second part of the work in \(50\) minutes."
21,Connor is taking his date to the movies.  The tickets cost $10.00 each.  They decided to get the large popcorn & 2 drink combo meal for $11.00 and each grab a box of candy for $2.50 each.  How much will Connor spend on his date?,36,,"Q: Connor is taking his date to the movies.  The tickets cost $10.00 each.  They decided to get the large popcorn & 2 drink combo meal for $11.00 and each grab a box of candy for $2.50 each.  How much will Connor spend on his date?
Answer: The total cost of the date will be $41.50.

Q: The movie tickets are $10.00 each.  The cost of the combo meal is $11.00 and each box of candy is $2.50.  How much will Connor spend on his date?
Answer: The total cost of the date will be $41.50.

Q: Connor is taking his date to the"
22,Susie has 572 beans in the jar. One-fourth of them are red and one-third of the remaining beans are white. Then half of the remaining are green beans. How many green beans are there?,143,,"Q: Susie has 572 beans in the jar. One-fourth of them are red and one-third of the remaining beans are white. Then half of the remaining are green beans. How many green beans are there?
Answer: 158

Step-by-step explanation:

Let total beans = T

Red = $\frac{1}{4}$ T

White = $\frac{1}{3}$ $\left(\frac{3}{4}\right)$ T

Green = $\frac{1}{2}$ $\left(\frac{1}{3}\right)$ T

$\therefore$ Green = $\frac{T}{8}$

$\frac{T}{"
23,"Jim collects model cars, and he has 301 models total.  Jim has 4 times as many Buicks as Fords, and 3 more than twice the number of Fords than Chevys.  How many Buicks does Jim have?",220,,"Q: Jim collects model cars, and he has 301 models total.  Jim has 4 times as many Buicks as Fords, and 3 more than twice the number of Fords than Chevys.  How many Buicks does Jim have?
Answer: 112

Q: If a small truck can carry 800 pounds of coal at one time, how many small trucks would be needed to carry 2,000,000 pounds of coal?
Answer: 25

Q: A man leaves home at 7:20 a.m. and walks 3 miles to work at 3 mph.  He then walks back at 4 mph and arrives home at"
24,"Peter has a plan to take his family on a vacation to Germany. He needs $5,000 to cover all the spending for the travel, and he has $2,900 in savings right now. If he can save up $700 each month, how many months does he need to wait to reach his goal?",3,,"Q: Peter has a plan to take his family on a vacation to Germany. He needs $5,000 to cover all the spending for the travel, and he has $2,900 in savings right now. If he can save up $700 each month, how many months does he need to wait to reach his goal?
Answer: 10 months

Q: Peter has a plan to take his family on a vacation to Germany. He needs $5,000 to cover all the spending for the travel, and he has $2,900 in savings right now. If he can save up $700 each month, how many months does he need to wait to reach his goal?

Solution 1

The amount of time it takes to reach the goal is the number of"
25,"Wendy spent 25 years as an accountant and 15 years as an accounting manager. If Wendy lived to be 80 years old, what percentage of her life did she spend in an accounting-related job?",50,,"Q: Wendy spent 25 years as an accountant and 15 years as an accounting manager. If Wendy lived to be 80 years old, what percentage of her life did she spend in an accounting-related job?
Answer: 40%

The correct answer is 40%.

If you divide 80 by 25 you get 3.2. To find out what percentage of her life she spent in an accounting-related job convert 3.2 to a percentage by multiplying it by 100, which is 320%. Then divide 320% by 25, the number of years she spent as an accountant, to get"
26,"Last year, Peter organized a Fun Run for his community project and 200 people signed up. Forty people did not show up to run. This year, there will be twice as many runners as last year. How many people will run this year?",320,,"Q: Last year, Peter organized a Fun Run for his community project and 200 people signed up. Forty people did not show up to run. This year, there will be twice as many runners as last year. How many people will run this year?
Answer: 220

Q: Last year, Peter organized a Fun Run for his community project and 200 people signed up. Forty people did not show up to run. This year, there will be twice as many runners as last year. How many people will run this year?
Answer: 220

Q: Last year, Peter organized a Fun Run for his community project and 200 people signed up. Forty people did not"
27,"Dulce's father has eight orange trees on his farm. If each tree has 200 fruits and Dulce picks 2/5 of the oranges from each tree, calculate the total number of fruits remaining in all the trees.",960,,"Q: Dulce's father has eight orange trees on his farm. If each tree has 200 fruits and Dulce picks 2/5 of the oranges from each tree, calculate the total number of fruits remaining in all the trees.
Answer: Dulce's father has eight orange trees on his farm. If each tree has 200 fruits and Dulce picks 2/5 of the oranges from each tree, there is a total of 200 × 8 × 2/5 = 1600 oranges remaining in all the trees."
28,Padma is trading cards with Robert. Padma started with 75 cards and traded 2 or her valuable ones for 10 of Robert's cards. Robert started with 88 of his own cards and traded another 8 of his cards for 15 of Padma's cards. How many cards were traded between both Padma and Robert?,35,,"Q: Padma is trading cards with Robert. Padma started with 75 cards and traded 2 or her valuable ones for 10 of Robert's cards. Robert started with 88 of his own cards and traded another 8 of his cards for 15 of Padma's cards. How many cards were traded between both Padma and Robert?
Answer: 48 cards were traded between both Padma and Robert.

To solve the problem, we need to use the concept of the number of cards traded by both Padma and Robert.

Let us consider the terms:
Padma started with 75 cards and traded 2 of her valuable ones for 10 of Robert's cards.

Padma started with 75 cards.

Padma traded 2 of her valuable ones for 10"
29,"Jason is planning a parking garage that will have 12 floors. Every 3rd floor has a gate where drivers have to show ID, which takes two minutes. To get from one floor to the next, drivers have to drive 800 feet at 10 feet/second. How long, in seconds, does it take to get to the bottom of the garage from the top?",1440,,"Q: Jason is planning a parking garage that will have 12 floors. Every 3rd floor has a gate where drivers have to show ID, which takes two minutes. To get from one floor to the next, drivers have to drive 800 feet at 10 feet/second. How long, in seconds, does it take to get to the bottom of the garage from the top?
Answer:

The first thing we have to do is figure out how many floors there are. We know that every third floor has a gate, and that the garage has twelfth floors.

We can use our ratio table to find the total number of floors.

Now, we can use our ratio table to find the total number of minutes it takes to get to the bottom of the parking garage.

Once we know the total number of minutes, we can use a rate to"
30,"There are 920 deer in a park. 10% of the deer have 8 antlers, and a quarter of that number also have albino fur. How many albino 8-antlered deer are there?",23,,"Q: There are 920 deer in a park. 10% of the deer have 8 antlers, and a quarter of that number also have albino fur. How many albino 8-antlered deer are there?
Answer: 12

The easiest way to solve the problem is to consider the deer as a whole.

If 920 deer have 8 antlers, then Q of those deer have 8 antlers. If a quarter of that number also have albino fur, then A of the 8-antlered deer have albino fur.

So we have 920 deer. 10% of them have 8 antlers. A"
31,"Allison went to the craft store with her friend Marie to buy some glue sticks and construction paper. Allison bought 8 more glue sticks than Marie, but Marie bought six times as many packs of construction paper as Allison. If Marie bought 15 glue sticks and 30 packs of construction paper how many craft supply items did Allison buy all together?",28,,"Q: Allison went to the craft store with her friend Marie to buy some glue sticks and construction paper. Allison bought 8 more glue sticks than Marie, but Marie bought six times as many packs of construction paper as Allison. If Marie bought 15 glue sticks and 30 packs of construction paper how many craft supply items did Allison buy all together?
Answer: 45

## Explanation:

Let's make a table:

As you can see from the table, we have two knowns - the number of glue sticks Marie bought and the number of packs of construction paper she bought.

Now we need to find out the values of the remaining two variables:

For the first variable, we use the information that Allison bought 8 more glue sticks than Marie:

For the second"
32,"James gets bored with his game so decides to play a different one.  That game promises 100 hours of gameplay but 80% of that is boring grinding.  However, the expansion does add another 30 hours of enjoyable gameplay.  How much enjoyable gameplay does James get?",50,,"Q: James gets bored with his game so decides to play a different one.  That game promises 100 hours of gameplay but 80% of that is boring grinding.  However, the expansion does add another 30 hours of enjoyable gameplay.  How much enjoyable gameplay does James get?
Answer: 120 hours, because he will get the enjoyable part of the expansion and then the rest of the expansion will only be 20% of the total gameplay

I have been playing a lot of World of Warcraft recently.  When I first started the game I enjoyed every moment of it.  As time has gone on though, I have started to get bored of grinding through the game again.  The problem is that Blizzard has released expansions for the game"
33,"Monica and Michelle are combining their money to throw a party. Monica brings $15. Michelle brings $12. The cake costs 15 dollars, and soda is $3 a bottle. Each bottle of soda has 12 servings and they buy as many bottles of soda as they can afford. If there are 8 total guests, how many servings of soda does each get?",6,,"Q: Monica and Michelle are combining their money to throw a party. Monica brings $15. Michelle brings $12. The cake costs 15 dollars, and soda is $3 a bottle. Each bottle of soda has 12 servings and they buy as many bottles of soda as they can afford. If there are 8 total guests, how many servings of soda does each get?
Answer: 3.6

A: If you have a question or comment regarding the solution to this problem, please let us know."
34,"Peter is buying a set of glasses. They cost $3 for small glasses and $5 for large ones. He has $50.  If he buys 8 small ones and leaves with $1 in change, how many large ones did he buy?",5,,"Q: Peter is buying a set of glasses. They cost $3 for small glasses and $5 for large ones. He has $50.  If he buys 8 small ones and leaves with $1 in change, how many large ones did he buy?
Answer: A

Q: Peter is buying a set of glasses. They cost $3 for small glasses and $5 for large ones. He has $50.  If he buys 8 small ones and leaves with $1 in change, how many large ones did he buy?

A: 2

Explanation:

Let x be the number of large glasses Peter buys.

If Peter buys 8 small glasses, then he has $5"
35,Mara has 40 crayons and 10 percent of her crayons are pink. Luna has 50 crayons and 20 percent of them are pink. In total how many pink crayons do Mara and Luna have?,14,,"Q: Mara has 40 crayons and 10 percent of her crayons are pink. Luna has 50 crayons and 20 percent of them are pink. In total how many pink crayons do Mara and Luna have?
Answer:

Let the total number of pink crayons be x.

Since Mara has 40 crayons and 10% of her crayons are pink, then 4 Mara’s crayons are pink.

Since Luna has 50 crayons and 20% of them are pink, then 10 Luna’s crayons are pink.

It is given that the total number of pink c"
36,"Jane is trying to decide whether to buy a house or a trailer. A house costs $480,000 and a trailer costs $120,000. Each loan will be paid in monthly installments over 20 years. How much more is the monthly payment on the house compared to the trailer?",1500,,"Q: Jane is trying to decide whether to buy a house or a trailer. A house costs $480,000 and a trailer costs $120,000. Each loan will be paid in monthly installments over 20 years. How much more is the monthly payment on the house compared to the trailer?
Answer: $700

Q: Which of the following is true about the graph above?
A: The graph shows the rate of change in a country's GDP
B: The graph shows the rate of inflation in a country
C: The graph shows the rate of growth in a country's GDP
D: The graph shows the rate of change in a country's population

Q: Which of the following is the best way to increase a country's"
37,"Mia is buying Christmas gifts for her family. She has spent $30 on each of her 3 siblings, and the rest of her spending was for her parents. If Mia spent a total of $150 on Christmas gifts and each of her parents received gifts of equal value, how much money, in dollars, did she spend on each parent’s gift?",30,,"Q: Mia is buying Christmas gifts for her family. She has spent $30 on each of her 3 siblings, and the rest of her spending was for her parents. If Mia spent a total of $150 on Christmas gifts and each of her parents received gifts of equal value, how much money, in dollars, did she spend on each parent’s gift?
Answer: In order for the spending amounts for Mia’s siblings to be equal, the amount that she spent on each parent must also be equal. This means that the amount that she spent on each parent is $30."
38,Clare's mother gave her $47 to go to the store. Clare bought 4 loaves of bread and 2 cartons of milk. Each loaf of bread cost $2 and each carton of milk cost $2. How much money does Clare have left?,35,,"Q: Clare's mother gave her $47 to go to the store. Clare bought 4 loaves of bread and 2 cartons of milk. Each loaf of bread cost $2 and each carton of milk cost $2. How much money does Clare have left?
Answer: $18

Q: How many days are in 9 months?
Answer: 273

Q: What is 7 times 5?
Answer: 35

Q: 12 divided by 4 is what?
Answer: 3

Q: What is 8 plus 4?
Answer: 12

Q: What is 2 plus 2?
Answer: 4"
39,Oshea bought 200 basil seeds. He wants to plant them in planters. He has 4 large planters that can hold 20 seeds each. He also has small planters that can hold 4 seeds each. How many small planters will he need to plant all the basil seeds?,30,,"Q: Oshea bought 200 basil seeds. He wants to plant them in planters. He has 4 large planters that can hold 20 seeds each. He also has small planters that can hold 4 seeds each. How many small planters will he need to plant all the basil seeds?
Answer: 100

200 basil seeds need to be planted in 40 planters. 40 planters can hold 800 seeds. 800 seeds divided by 200 seeds = 4 planters. So Oshea needs 4 large planters. 4 large planters can hold 80 seeds. 80 seeds divided by 20 seeds = 4 planters. So Oshea needs 4"
40,"Eric sorted 150 colored pencils into 5 containers for his art class. Before class, another teacher brought him 30 more pencils. How many can he evenly distribute between the five containers now?",36,,"Q: Eric sorted 150 colored pencils into 5 containers for his art class. Before class, another teacher brought him 30 more pencils. How many can he evenly distribute between the five containers now?
Answer: 170.

Q: If a man has 25 dogs, each of which has 25 dogs, each of which has 25 dogs, each of which has 25 dogs... how many dogs does he have?
Answer: None.

Q: If a man has 25 dogs, each of which has 25 dogs, each of which has 25 dogs, each of which has 25 dogs... how many"
41,"Oleg is an event organizer. He is organizing an event with 80 guests where 40 of them are men, half the number of men are women, and the rest are children. If he added 10 children to the guest list, how many children will there be at the event?",30,,"Q: Oleg is an event organizer. He is organizing an event with 80 guests where 40 of them are men, half the number of men are women, and the rest are children. If he added 10 children to the guest list, how many children will there be at the event?
Answer: 20 children will attend the event.

Step-by-step explanation:

To solve this problem, we need to use equations and variables to represent the unknown values.

Let’s start by assigning variables to the given information:

Let x be the number of men
Let y be the number of women
Let z be the number of children

Using this information, we can write the following equations:

x + y + z ="
42,Stella collects stamps. She counted 50 pages in her collector's album. There are 5 rows of 30 stamps in each of the first 10 pages of her album. The rest of the pages each have 50 stamps. How many stamps are in Stella's album?,3500,,"Q: Stella collects stamps. She counted 50 pages in her collector's album. There are 5 rows of 30 stamps in each of the first 10 pages of her album. The rest of the pages each have 50 stamps. How many stamps are in Stella's album?
Answer: 1550 stamps

Q: A pencil factory makes pencils with the help of two machines. Machine 1 produces pencils at the rate of 600 pencils per hour, and Machine 2 produces pencils at the rate of 300 pencils per hour. How many pencils are produced in 3 hours if both machines are running at the same time?
Answer: 1800 p"
43,James gets a cable program.  The first 100 channels cost $100 and the next 100 channels cost half that much.  He splits it evenly with his roommate.  How much did he pay?,75,,"Q: James gets a cable program.  The first 100 channels cost $100 and the next 100 channels cost half that much.  He splits it evenly with his roommate.  How much did he pay?
Answer: $100

Q: A man and his son are in a car accident.  The father dies, and the son is rushed to the hospital.  The son is in critical condition and the doctor says, ""I can't operate on this boy; he's my son!""  How is this possible?
Answer: The doctor is the boy's mother.

Q: A man walks into a bar and sees two jars. One has a sign"
44,A desert garden’s sprinkler system runs twice a day during the cool morning and evening hours. It waters the garden with four liters of water in the morning and six liters in the evening. How many days does it take the sprinkler system to use 50 liters of water?,5,,"Q: A desert garden’s sprinkler system runs twice a day during the cool morning and evening hours. It waters the garden with four liters of water in the morning and six liters in the evening. How many days does it take the sprinkler system to use 50 liters of water?
Answer: 3 days

We can solve this problem by using the concept of ratio.

Let us suppose that we have 50 liters of water.

In the morning it uses 4 liters and evening it uses 6 liters.

So 50 liters will be used in one day.

In the next day it will use 4 liters and 6 liters in the evening.

So, 50 liters will"
