index,question,ground_truth,predicted_answer,full_prediction
10,Trace has five shopping bags that weigh the same amount as Gordon’s two shopping bags. One of Gordon’s shopping bags weighs three pounds and the other weighs seven. Trace’s shopping bags all weigh the same amount. How many pounds does one of Trace’s bags weigh?,2,27,"Q: Sarah read 12 pages on Monday and 15 pages on Tuesday. How many pages did she read in total?
Step-by-step reasoning:
(1) Sarah read 12 pages on Monday.
(2) She read 15 pages on Tuesday.
(3) Adding these gives: 12 + 15 = 27.
Evaluation:
- The addition is straightforward.
- No subtraction or multiplication involved.
Final Answer: 27
#### 27

Q: Trace has five shopping bags that weigh the same amount as Gordon’s two shopping bags. One of Gordon’s shopping bags weighs three pounds and the other weighs seven. Trace’s shopping bags all weigh the same amount. How many pounds does one of Trace’s bags weigh?
Step-by-step reasoning:
(1) Trace has five shopping bags that weigh the same amount.
(2) One of Gordon’s shopping bags weighs three pounds and the other weighs seven.
(3) Trace’s bags all weigh the same amount.
(4) 3 + 7 = 10.
(5) 5 × 10 = 50.
Evaluation:
- Simple addition and multiplication.
- No subtraction.
Final Answer: 50
#### 50

Q: Sarah’s family has a dog and a cat. Each shares the same number of teeth as the other. If the dog has 40 teeth, how many teeth does the cat have?
Step-by-step reasoning:
(1) Sarah’s family has a dog and a cat.
(2) Each shares the same number of teeth as the other.
(3) The dog has 40 teeth.
Evaluation:
- Simple addition and multiplication.
- No subtraction.
Final Answer: 40
#### 40

Q: Sarah’s family has a dog and a cat. Each shares the same number of teeth as the other. If the dog has 40 teeth, how many teeth does the cat have?
Step-by-step reasoning:
(1) Sarah’s family has a dog and a cat."
11,A library has a number of books. 35% of them are intended for children and 104 of them are for adults. How many books are in the library?,160,27,"Q: Sarah read 12 pages on Monday and 15 pages on Tuesday. How many pages did she read in total?
Step-by-step reasoning:
(1) Sarah read 12 pages on Monday.
(2) She read 15 pages on Tuesday.
(3) Adding these gives: 12 + 15 = 27.
Evaluation:
- The addition is straightforward.
- No subtraction or multiplication involved.
Final Answer: 27
#### 27

Q: A library has a number of books. 35% of them are intended for children and 104 of them are for adults. How many books are in the library?
Step-by-step reasoning:
(1) 35% of the books are for children.
(2) 104 of them are for adults.
(3) The sum of the two gives us the number of books.
(4) 35% of X is 0.35X.
(5) Applying this to (1): 0.35X = 0.35X.
(6) Applying this to (2): 104 = 0.65X.
(7) Combining (5) and (6): 0.35X + 0.65X = 104.
(8) Simplifying, we get: 1X = 104.
(9) Finally and most importantly: X = 104.
Evaluation:
- Only a few simple arithmetical operations are involved.
- No division involved.
Final Answer: 104
#### 104

Q: A teacher has 40 students in his class. He has to divide them into 4 groups. In how many ways can this be done?
Step-by-step reasoning:
(1) The number of students in the class is 40.
(2) The number of groups is 4.
(3) We divide 40 by 4."
12,"Nicky is trading baseball cards with Jill. If Nicky trades two cards worth $8 each for 1 card worth $21, how many dollars of profit does he make?",5,27,"Q: Sarah read 12 pages on Monday and 15 pages on Tuesday. How many pages did she read in total?
Step-by-step reasoning:
(1) Sarah read 12 pages on Monday.
(2) She read 15 pages on Tuesday.
(3) Adding these gives: 12 + 15 = 27.
Evaluation:
- The addition is straightforward.
- No subtraction or multiplication involved.
Final Answer: 27
#### 27

Q: Nicky is trading baseball cards with Jill. If Nicky trades two cards worth $8 each for 1 card worth $21, how many dollars of profit does he make?
Step-by-step reasoning:
(1) Nicky trades 2 cards worth $8 each for 1 card worth $21.
(2) The profit is the difference between the value of the 1 card and the value of the 2 cards: $21 - ($8 + $8).
Evaluation:
- The profit is calculated by subtracting a value from another.
- No addition or multiplication involved.
Final Answer: $5
#### 5

Q: What is the next number in this sequence: 2, 4, 6, 7, 9, 10, 12, 13, 15, 16 ... ?
Step-by-step reasoning:
(1) The sequence starts with 2, 4, 6, 7, 9, 10, 12, 13, 15, 16 ...
(2) The next number is 16 + 1 = 17.
Evaluation:
- The next number is found by adding 1 to the previously given number.
- No multiplication or division involved.
Final Answer: 17
#### 17

Q: In the following equation: 8 = 2 + 6, how much is 6?
Step-by-step reasoning:
(1) In the equation: 8"
13,"Patricia is making a highlight film about her basketball team. She recorded video of every player and plans to put it all together in a longer movie. She has 130 seconds of the point guard, 145 seconds of the shooting guard, 85 seconds of the small forward, 60 seconds of the power forward, and 180 seconds of the center. How on average, how many minutes does each player get?",2,27,"Q: Sarah read 12 pages on Monday and 15 pages on Tuesday. How many pages did she read in total?
Step-by-step reasoning:
(1) Sarah read 12 pages on Monday.
(2) She read 15 pages on Tuesday.
(3) Adding these gives: 12 + 15 = 27.
Evaluation:
- The addition is straightforward.
- No subtraction or multiplication involved.
Final Answer: 27
#### 27

Q: Patricia is making a highlight film about her basketball team. She recorded video of every player and plans to put it all together in a longer movie. She has 130 seconds of the point guard, 145 seconds of the shooting guard, 85 seconds of the small forward, 60 seconds of the power forward, and 180 seconds of the center. How on average, how many minutes does each player get?
Step-by-step reasoning:
(1) 130 seconds is 2 minutes.
(2) 145 seconds is 2.42 minutes.
(3) 85 seconds is 1.42 minutes.
(4) 60 seconds is 1 minute.
(5) 180 seconds is 3 minutes.
(6) Adding these gives: (2 + 2.42 + 1.42 + 1 + 3) 25.42 minutes.
Evaluation:
- The addition is straightforward.
- No subtraction or multiplication involved.
Final Answer: 25.42 minutes
#### 25.42 minutes

Q: A school’s football team will go to the state championship if they win the next two games. They won the first game 42-35. How many points do they need to win the second game?
Step-by-step reasoning:
(1) They won the first game 42-35.
(2) 42-35 is 7 more,
Evaluation:
- There is a straightforward calculation involved, but it involves subtraction.
Final Answer: 7 more
#### 7 more

Q: The temperature was 10 degrees Fahrenheit today. What is that in Kelvin?
Step-by-"
14,"Julie, Letitia and Anton decided to have dinner together at a nearby restaurant.  Julie orders $10 worth of food, Letitia orders $20 worth of food, and Anton orders $30 worth of food.  How much should each pay in tips if they want to split a 20% tip for the whole meal evenly?",4,27,"Q: Sarah read 12 pages on Monday and 15 pages on Tuesday. How many pages did she read in total?
Step-by-step reasoning:
(1) Sarah read 12 pages on Monday.
(2) She read 15 pages on Tuesday.
(3) Adding these gives: 12 + 15 = 27.
Evaluation:
- The addition is straightforward.
- No subtraction or multiplication involved.
Final Answer: 27
#### 27

Q: Julie, Letitia and Anton decided to have dinner together at a nearby restaurant.  Julie orders $10 worth of food, Letitia orders $20 worth of food, and Anton orders $30 worth of food.  How much should each pay in tips if they want to split a 20% tip for the whole meal evenly?
Step-by-step reasoning:
(1) Julie orders $10 worth of food.
(2) Letitia orders $20 worth of food.
(3) Anton orders $30 worth of food.
(4) 20% of 10 = 2.
(5) 20% of 20 = 4.
(6) 20% of 30 = 6.
(7) 2 + 4 + 6 = 12.
(8) 12 divided by 3 = 4.
Evaluation:
- The addition is straightforward.
- No subtraction or multiplication involved.
- The steps are a bit cumbersome.
Final Answer: 4
#### 4

Q: If you want to double your savings, you need to save $500 each month for 3 years. How much do you need to save each month if you want to triple your savings in 4 years?
Step-by-step reasoning:
(1) You need to save $500 each month for 3 years.
(2) You need to triple your savings.
(3) The amount you need to triple is $750 (100% of $500).
(4) The amount you need to triple is $1000 (150% of $50"
15,Niko has bought 9 pairs of socks that cost $2 each and plans to resell them. He wants to gain 25% profit from four of the pairs of socks and $0.2 profit each for the other 5 pairs of socks. How much will his total profit be?,3,27,"Q: Sarah read 12 pages on Monday and 15 pages on Tuesday. How many pages did she read in total?
Step-by-step reasoning:
(1) Sarah read 12 pages on Monday.
(2) She read 15 pages on Tuesday.
(3) Adding these gives: 12 + 15 = 27.
Evaluation:
- The addition is straightforward.
- No subtraction or multiplication involved.
Final Answer: 27
#### 27

Q: Niko has bought 9 pairs of socks that cost $2 each and plans to resell them. He wants to gain 25% profit from four of the pairs of socks and $0.2 profit each for the other 5 pairs of socks. How much will his total profit be?
Step-by-step reasoning:
(1) He bought 9 pairs of socks that cost $2 each.
(2) He wants to get a 25% profit from 4 pairs of socks. This means 4 x 25% = 1.
(3) He wants to get $0.2 profit for 5 pairs of socks. This means 5 x $0.2 = 1.
(4) Adding these gives: 1 + 1 = 2.
(5) Multiplying by the number of pairs of socks gives: 2 x 9 = 18.
Evaluation:
- The multiplication is straightforward.
- No addition or subtraction involved.
Final Answer: $18"
16,"The number of short students in a class is 2/5 of the total number of students. If there are 90 tall students, and the class has 400 students, calculate the total number of students with average height.",150,27,"Q: Sarah read 12 pages on Monday and 15 pages on Tuesday. How many pages did she read in total?
Step-by-step reasoning:
(1) Sarah read 12 pages on Monday.
(2) She read 15 pages on Tuesday.
(3) Adding these gives: 12 + 15 = 27.
Evaluation:
- The addition is straightforward.
- No subtraction or multiplication involved.
Final Answer: 27
#### 27

Q: The number of short students in a class is 2/5 of the total number of students. If there are 90 tall students, and the class has 400 students, calculate the total number of students with average height.
Step-by-step reasoning:
(1) The number of short students is 2/5 of the total number of students.
(2) The number of tall students is 90.
(3) The number of short and tall students is 400.
(4) Subtract 90 from 400: 400 - 90 = 310.
(5) The number of short students is 2/5 of the total.
(6) Multiply 2/5 by 310: 2/5 * 310 = 124.
(7) The number of students with average height is 400 - 124 = 276.
Evaluation:
- The number of short students is 124.
- The class has 276 students with average height.
Final Answer: 276
#### 276

Q: In a class of 800 students, 5/10 of the students are girls, 1/10 are short and 3/10 are tall. How many short girls are there in the class?
Step-by-step reasoning:
(1) In a class of 800 students, 5/10 of the students are girls.
(2) 1/10 are short.
("
17,James buys 20 coins of a cryptocurrency at $15 each.  The value of the coins increases by 2/3.  He sells coins to recoup his original investment.  How many coins did he sell?,12,27,"Q: Sarah read 12 pages on Monday and 15 pages on Tuesday. How many pages did she read in total?
Step-by-step reasoning:
(1) Sarah read 12 pages on Monday.
(2) She read 15 pages on Tuesday.
(3) Adding these gives: 12 + 15 = 27.
Evaluation:
- The addition is straightforward.
- No subtraction or multiplication involved.
Final Answer: 27
#### 27

Q: James buys 20 coins of a cryptocurrency at $15 each.  The value of the coins increases by 2/3.  He sells coins to recoup his original investment.  How many coins did he sell?
Step-by-step reasoning:
(1) Let X = the number of coins he sold.
(2) 20 x 15 = 300 and $300 is his total investment.
(3) $300 x 2/3 = $200.
(4) The number of coins X is 200 divided by the cost per coin ($15).
(5) 200/15 = 13.
Evaluation:
- The solution is reasonable.
- The computation is straightforward.
Final Answer: 13
#### 13

Q: A bag contains 5 green marbles and 8 blue marbles.  A marble is randomly selected from the bag.  What is the probability that it is blue?
Step-by-step reasoning:
(1) Let X = the probability of selecting a blue marble.
(2) 5 + 8 = 13.
(3) The total number of marbles in the bag is 13.
(4) X = 8/13.
Evaluation:
- The solution is reasonable.
- The computation is straightforward.
Final Answer: 8/13
#### 8/13

Q: 20% of the 650 people in a neighborhood are men.  What is the probability that a randomly selected person from"
18,"In the park, the first rose bush has 12 red flowers.  The second rose bush has 18 pink flowers.  The third rose bush has 20 yellow flowers.  The fourth rose bush has 8 orange flowers.  For her vase, Lorelei picks 50% of the red roses, 50% pink roses, 25% of the yellow roses, and 25% orange roses. How many roses are in her vase?",22,27,"Q: Sarah read 12 pages on Monday and 15 pages on Tuesday. How many pages did she read in total?
Step-by-step reasoning:
(1) Sarah read 12 pages on Monday.
(2) She read 15 pages on Tuesday.
(3) Adding these gives: 12 + 15 = 27.
Evaluation:
- The addition is straightforward.
- No subtraction or multiplication involved.
Final Answer: 27
#### 27

Q: In the park, the first rose bush has 12 red flowers.  The second rose bush has 18 pink flowers.  The third rose bush has 20 yellow flowers.  The fourth rose bush has 8 orange flowers.  For her vase, Lorelei picks 50% of the red roses, 50% pink roses, 25% of the yellow roses, and 25% orange roses. How many roses are in her vase?
Step-by-step reasoning:
(1) There are 12 red roses.
(2) There are 18 pink roses.
(3) There are 20 yellow roses.
(4) There are 8 orange roses.
(5) The total number of roses is x.
(6) Lorelei takes half the red roses, which is 6 (because half of 12 is 6).
(7) Lorelei takes half the pink roses, which is 9 (because half of 18 is 9).
(8) Lorelei takes a quarter of the yellow roses, which is 5 (because a quarter of 20 is 5).
(9) Lorelei takes a quarter of the orange roses, which is 2 (because a quarter of 8 is 2).
(10) Adding gives x = 22 (because 6 + 9 + 5 + 2 = 22).
Evaluation:
- The multiplication and division are straightforward.
- No addition or subtraction involved.
Final Answer: 22"
19,"Tonya has opened a lemonade stand selling lemonade in small, medium, and large cups at $1, $2 and $3 respectively. At the close of business she ended up making $50.  As she went back through her inventory she noticed that she sold $11 worth of small lemonades and $24 worth of medium lemonades. How many cups of large lemonade did Tonya sell?",5,27,"Q: Sarah read 12 pages on Monday and 15 pages on Tuesday. How many pages did she read in total?
Step-by-step reasoning:
(1) Sarah read 12 pages on Monday.
(2) She read 15 pages on Tuesday.
(3) Adding these gives: 12 + 15 = 27.
Evaluation:
- The addition is straightforward.
- No subtraction or multiplication involved.
Final Answer: 27
#### 27

Q: Tonya has opened a lemonade stand selling lemonade in small, medium, and large cups at $1, $2 and $3 respectively. At the close of business she ended up making $50.  As she went back through her inventory she noticed that she sold $11 worth of small lemonades and $24 worth of medium lemonades. How many cups of large lemonade did Tonya sell?
Step-by-step reasoning:
(1) $11 worth of small lemonades
(2) $24 worth of medium lemonades
(3) $50 worth of lemonade in total
(4) Small cups are $1 each
(5) Medium cups are $2 each
(6) Large cups are $3 each
(7) $50 = $11 + $24 + $3?
(8) $3? = $50 - $11 - $24 = $15
(9) $15 ÷ $3 = 5
(10) 5 cups of large lemonade
Evaluation:
- The division in Step 8 is straightforward.
- The division in Step 9 is straightforward.
- Recalling that a single cup of lemonade costs $3.
Final Answer: 5
#### 5

Q: A group of scientists is studying the impact of a new vaccine. They vaccinate 500 people at a given site. 10 people who are vaccinated get sick. 100 people who are not vaccinated at the same site get sick. What is the probability that a person who is vaccinated will get sick?
Step-by-step reasoning:
(1) 10 people who are vaccinated get sick.
(2) 100 people who are not vaccinated get sick."
20,"Leo's assignment was divided into three parts. He finished the first part of his assignment in 25 minutes. It took him twice as long to finish the second part. If he was able to finish his assignment in 2 hours, how many minutes did Leo finish the third part of the assignment?",45,27,"Q: Sarah read 12 pages on Monday and 15 pages on Tuesday. How many pages did she read in total?
Step-by-step reasoning:
(1) Sarah read 12 pages on Monday.
(2) She read 15 pages on Tuesday.
(3) Adding these gives: 12 + 15 = 27.
Evaluation:
- The addition is straightforward.
- No subtraction or multiplication involved.
Final Answer: 27
#### 27

Q: Leo's assignment was divided into three parts. He finished the first part of his assignment in 25 minutes. It took him twice as long to finish the second part. If he was able to finish his assignment in 2 hours, how many minutes did Leo finish the third part of the assignment?
Step-by-step reasoning:
(1) Leo finished the first part in 25 minutes.
(2) The second part took twice as long, so 25 x 2 = 50 minutes.
(3) According to the question, the third part took the same amount of time as the first and second parts together, so 25+50 = 75 minutes.
Evaluation:
- No multiplication or division involved.
- No subtraction, just straightforward addition.
Final Answer: 75
#### 75

Q: If you mix 25% baking soda with 75% salt, what percent is the baking soda in the mixture?
Step-by-step reasoning:
(1) Let's call the amount of baking soda 'A' and the amount of salt 'B'.
(2) The question asks what percent of the mixture is baking soda. We can think of the mixture as a whole, and the baking soda as a part of that whole, and therefore the percent = part ÷ whole
(3) The whole is given as A+B, and the part is A. So the percent is A/(A+B).
(4) We know that A+B=100%, so we can substitute: A/(100%-A)
(5) We know that A = 25%, so we"
21,Connor is taking his date to the movies.  The tickets cost $10.00 each.  They decided to get the large popcorn & 2 drink combo meal for $11.00 and each grab a box of candy for $2.50 each.  How much will Connor spend on his date?,36,27,"Q: Sarah read 12 pages on Monday and 15 pages on Tuesday. How many pages did she read in total?
Step-by-step reasoning:
(1) Sarah read 12 pages on Monday.
(2) She read 15 pages on Tuesday.
(3) Adding these gives: 12 + 15 = 27.
Evaluation:
- The addition is straightforward.
- No subtraction or multiplication involved.
Final Answer: 27
#### 27

Q: Connor is taking his date to the movies.  The tickets cost $10.00 each.  They decided to get the large popcorn & 2 drink combo meal for $11.00 and each grab a box of candy for $2.50 each.  How much will Connor spend on his date?
Step-by-step reasoning:
(1) Tickets cost $10.00 each.
(2) The large popcorn & 2 drink combo meal costs $11.00.
(3) Each box of candy costs $2.50.
(4) Adding these gives: $10 + $11 + $2.50 + $2.50 = $26.00.
Evaluation:
- The addition is straightforward.
- No subtraction or multiplication involved.
Final Answer: $26.00
#### 26

Q: If the sum of 2 numbers is 18, and one number is 5, what is the value of the other number?
Step-by-step reasoning:
(1) The sum of the two numbers is 18.
(2) One number is 5.
(3) The other number is 18 – 5 = 13.
Evaluation:
- A simple subtraction is involved.
Final Answer: 13
#### 13

Q: If the sum of 2 numbers is 18, and one number is 5, what is the value of the other number?
Step-by-step reasoning:
(1) The sum of the two numbers is 18.
(2) One number is 5"
22,Susie has 572 beans in the jar. One-fourth of them are red and one-third of the remaining beans are white. Then half of the remaining are green beans. How many green beans are there?,143,27,"Q: Sarah read 12 pages on Monday and 15 pages on Tuesday. How many pages did she read in total?
Step-by-step reasoning:
(1) Sarah read 12 pages on Monday.
(2) She read 15 pages on Tuesday.
(3) Adding these gives: 12 + 15 = 27.
Evaluation:
- The addition is straightforward.
- No subtraction or multiplication involved.
Final Answer: 27
#### 27

Q: Susie has 572 beans in the jar. One-fourth of them are red and one-third of the remaining beans are white. Then half of the remaining are green beans. How many green beans are there?
Step-by-step reasoning:
(1) Susie has 572 beans in the jar.
(2) One-fourth of them are red and one-third of the remaining beans are white.
(3) Half of the remaining beans are green.
(4) One-fourth of 572 = 572/4 = 143.
(5) One-third of 572 - 143 = 143/3 = 47.5.
(6) Half of 572 - 143 - 47.5 = 572/2 - 143 - 47.5 = 286 - 143 - 47.5 = 135.5.
(7) 135.5 is a number with a fractional part.
(8) The nearest whole number is 135.
Evaluation:
- There is no need to subtract the green beans from the total as they are the remaining beans.
- The total number of beans is 572 and the red beans are 143 and the white beans are 47.5 and the green beans are 135.5, but as 135.5 is a number with a fractional part, the nearest whole number, which is 135"
23,"Jim collects model cars, and he has 301 models total.  Jim has 4 times as many Buicks as Fords, and 3 more than twice the number of Fords than Chevys.  How many Buicks does Jim have?",220,27,"Q: Sarah read 12 pages on Monday and 15 pages on Tuesday. How many pages did she read in total?
Step-by-step reasoning:
(1) Sarah read 12 pages on Monday.
(2) She read 15 pages on Tuesday.
(3) Adding these gives: 12 + 15 = 27.
Evaluation:
- The addition is straightforward.
- No subtraction or multiplication involved.
Final Answer: 27
#### 27

Q: Jim collects model cars, and he has 301 models total.  Jim has 4 times as many Buicks as Fords, and 3 more than twice the number of Fords than Chevys.  How many Buicks does Jim have?
Step-by-step reasoning:
(1) Jim has 301 models total.
(2) He has 4 times as many Buicks as Fords.
(3) He has 3 more than twice the number of Fords than Chevys.
(4) Adding: 4 times as many Buicks as Fords plus 3 more than twice the number of Fords than Chevys gives: 4(F) + 3(2F) + C = 301.
(5) Solving for F: 4F + 6F + C = 301.
(6) Solving for C: 10F + C = 301.
(7) Solving for C: C + 10F = 301, C = 301 - 10F.
(8) Solving for F: 10F = 301 - C, F = 301 - C/10.
Evaluation:
- Step 2 is the critical step that leads to the solution.
- The rest of the steps are straightforward.
Final Answer: 301 - C/10
#### 301 - C/10

Q: Jack is studying for a test in his statistics class. He has read 18 chapters so far. He will read 2 more chapters"
24,"Peter has a plan to take his family on a vacation to Germany. He needs $5,000 to cover all the spending for the travel, and he has $2,900 in savings right now. If he can save up $700 each month, how many months does he need to wait to reach his goal?",3,27,"Q: Sarah read 12 pages on Monday and 15 pages on Tuesday. How many pages did she read in total?
Step-by-step reasoning:
(1) Sarah read 12 pages on Monday.
(2) She read 15 pages on Tuesday.
(3) Adding these gives: 12 + 15 = 27.
Evaluation:
- The addition is straightforward.
- No subtraction or multiplication involved.
Final Answer: 27
#### 27

Q: Peter has a plan to take his family on a vacation to Germany. He needs $5,000 to cover all the spending for the travel, and he has $2,900 in savings right now. If he can save up $700 each month, how many months does he need to wait to reach his goal?
Step-by-step reasoning:
(1) Peter needs $5,000.
(2) He has $2,900 right now.
(3) He has to save $700 each month.
(4) After one month, he can save $2,900 + $700 = $3,600.
(5) After two months, he can save $2,900 + $700 + $700 = $4,300.
(6) After three months, he can save $2,900 + $700 + $700 + $700 = $5,300.
(7) After four months, he can save $2,900 + $700 + $700 + $700 + $700 = $6,300.
(8) After five months, he can save $2,900 + $700 + $700 + $700 + $700 + $700 = $7,300.
(9) After six months, he can save $2,900 + $700 + $700 + $700 + $700 + $700 + $700 = $8,300.
(1"
25,"Wendy spent 25 years as an accountant and 15 years as an accounting manager. If Wendy lived to be 80 years old, what percentage of her life did she spend in an accounting-related job?",50,27,"Q: Sarah read 12 pages on Monday and 15 pages on Tuesday. How many pages did she read in total?
Step-by-step reasoning:
(1) Sarah read 12 pages on Monday.
(2) She read 15 pages on Tuesday.
(3) Adding these gives: 12 + 15 = 27.
Evaluation:
- The addition is straightforward.
- No subtraction or multiplication involved.
Final Answer: 27
#### 27

Q: Wendy spent 25 years as an accountant and 15 years as an accounting manager. If Wendy lived to be 80 years old, what percentage of her life did she spend in an accounting-related job?
Step-by-step reasoning:
(1) Wendy spent 25 years as an accountant.
(2) She spent 15 years as an accounting manager.
(3) Adding these gives: 25 + 15 = 40.
(4) 40 is 50% of 80.
Evaluation:
- The addition is straightforward.
- No subtraction or multiplication involved.
- The percentage is simple to calculate, since the total years is 80.
Final Answer: 50%
#### 50%

Q: A pizza contains 120 calories. What is 10% of 120?
Step-by-step reasoning:
(1) 120 calories is 10% of 1200 calories.
Evaluation:
- The question is simple to answer, just divide by 10.
Final Answer: 120
#### 120

Q: One-third of 120 is 40. What is one-third of 40?
Step-by-step reasoning:
(1) One-third of 120 is 40.
(2) One-third of 40 is 13.
Evaluation:
- The question is simple to answer, just divide by one-third."
26,"Last year, Peter organized a Fun Run for his community project and 200 people signed up. Forty people did not show up to run. This year, there will be twice as many runners as last year. How many people will run this year?",320,27,"Q: Sarah read 12 pages on Monday and 15 pages on Tuesday. How many pages did she read in total?
Step-by-step reasoning:
(1) Sarah read 12 pages on Monday.
(2) She read 15 pages on Tuesday.
(3) Adding these gives: 12 + 15 = 27.
Evaluation:
- The addition is straightforward.
- No subtraction or multiplication involved.
Final Answer: 27
#### 27

Q: Last year, Peter organized a Fun Run for his community project and 200 people signed up. Forty people did not show up to run. This year, there will be twice as many runners as last year. How many people will run this year?
Step-by-step reasoning:
(1) There were 200 runners last year.
(2) 40 people did not show up.
(3) Peter’s project will have twice as many runners this year as last year.
(4) 200 x 2 = 400.
(5) 400 – 40 = 360.
Evaluation:
- It is important to read the question carefully to avoid getting the answer wrong.
Final Answer: 360
#### 360

Q: The sum of two numbers is 11. They are 5 less than the sum of their squares. What are the two numbers?
Step-by-step reasoning:
(1) The sum of two numbers is 11.
(2) Let the two numbers be x and y.
(3) x + y = 11.
(4) x^{2} + y^{2} = (x + y)^{2} – 2xy.
(5) x^{2} + y^{2} = 121 – 2xy.
(6) x^{2} + y^{2} = 121 – (x + y)(x – y).
(7) x^{2} + y^{2} = 121 – 10x –"
27,"Dulce's father has eight orange trees on his farm. If each tree has 200 fruits and Dulce picks 2/5 of the oranges from each tree, calculate the total number of fruits remaining in all the trees.",960,27,"Q: Sarah read 12 pages on Monday and 15 pages on Tuesday. How many pages did she read in total?
Step-by-step reasoning:
(1) Sarah read 12 pages on Monday.
(2) She read 15 pages on Tuesday.
(3) Adding these gives: 12 + 15 = 27.
Evaluation:
- The addition is straightforward.
- No subtraction or multiplication involved.
Final Answer: 27
#### 27

Q: Dulce's father has eight orange trees on his farm. If each tree has 200 fruits and Dulce picks 2/5 of the oranges from each tree, calculate the total number of fruits remaining in all the trees.
Step-by-step reasoning:
(1) Dulce's father has 8 orange trees.
(2) There are 200 oranges on each tree.
(3) Dulce picks 2/5 of the oranges from each tree. That's 2/5 × 200.
(4) To get the total, we add these together.
2/5 × 200  +  2/5 × 200  +  2/5 × 200  +  2/5 × 200  +  2/5 × 200  +  2/5 × 200  +  2/5 × 200  +  2/5 × 200  = 8 × 2/5 × 200 = 8 × 40 = 320.
Evaluation:
- The addition is straightforward.
- No subtraction or multiplication involved.
Final Answer: 320
#### 320

Q: The price of a book is $20. If the sales tax is 5%, how much does the book cost with the tax added?
Step-by-step reasoning:
(1) The price of the book is $20.
(2) The sales tax is 5%.
(3) 5%"
28,Padma is trading cards with Robert. Padma started with 75 cards and traded 2 or her valuable ones for 10 of Robert's cards. Robert started with 88 of his own cards and traded another 8 of his cards for 15 of Padma's cards. How many cards were traded between both Padma and Robert?,35,27,"Q: Sarah read 12 pages on Monday and 15 pages on Tuesday. How many pages did she read in total?
Step-by-step reasoning:
(1) Sarah read 12 pages on Monday.
(2) She read 15 pages on Tuesday.
(3) Adding these gives: 12 + 15 = 27.
Evaluation:
- The addition is straightforward.
- No subtraction or multiplication involved.
Final Answer: 27
#### 27

Q: Padma is trading cards with Robert. Padma started with 75 cards and traded 2 or her valuable ones for 10 of Robert's cards. Robert started with 88 of his own cards and traded another 8 of his cards for 15 of Padma's cards. How many cards were traded between both Padma and Robert?
Step-by-step reasoning:
(1) Padma started with 75 cards.
(2) She traded 2 of her valuable ones for 10 of Robert's cards.
(3) Robert started with 88 of his cards.
(4) He traded 8 of his cards for 15 of Padma's cards.
(5) Adding these gives: 75 + 10 = 85.
(6) 88 + 15 = 103.
(7) 85 + 103 = 188.
Evaluation:
- Padma traded 2 of her valuable ones; Robert traded 8 of his cards.
- The total number of cards traded is the sum of Padma's and Robert's cards traded.
Final Answer: 188
#### 188

Q: The ratio of boys to girls in a class is 3:5. If there are 35 boys in the class, how many girls are there?
Step-by-step reasoning:
(1) The ratio of boys to girls in a class is 3:5.
(2) There are 35 boys in the class.
(3) Dividing gives: 35 ÷ 5 = 7.
(4) 3 × 7 = 21.
Eval"
29,"Jason is planning a parking garage that will have 12 floors. Every 3rd floor has a gate where drivers have to show ID, which takes two minutes. To get from one floor to the next, drivers have to drive 800 feet at 10 feet/second. How long, in seconds, does it take to get to the bottom of the garage from the top?",1440,27,"Q: Sarah read 12 pages on Monday and 15 pages on Tuesday. How many pages did she read in total?
Step-by-step reasoning:
(1) Sarah read 12 pages on Monday.
(2) She read 15 pages on Tuesday.
(3) Adding these gives: 12 + 15 = 27.
Evaluation:
- The addition is straightforward.
- No subtraction or multiplication involved.
Final Answer: 27
#### 27

Q: Jason is planning a parking garage that will have 12 floors. Every 3rd floor has a gate where drivers have to show ID, which takes two minutes. To get from one floor to the next, drivers have to drive 800 feet at 10 feet/second. How long, in seconds, does it take to get to the bottom of the garage from the top?
Step-by-step reasoning:
(1) Jason is planning a parking garage that will have 12 floors.
(2) Every 3rd floor has a gate where drivers have to show ID, which takes two minutes.
(3) To get from one floor to the next, drivers have to drive 800 feet at 10 feet/second.
(4) Adding these gives: (12*800)/10 = 9600/10 = 960
Evaluation:
- The multiplication is straightforward.
- No subtraction or division involved.
Final Answer: 960
#### 960

Q: There are 24 apples and 8 pears in bag A. There are 12 apples and 4 pears in bag B. If each apple and pear in both bags is weighed, how many pears will be in the heavier bag?
Step-by-step reasoning:
(1) There are 24 apples and 8 pears in bag A.
(2) There are 12 apples and 4 pears in bag B.
(3) Adding these gives: 24+4+12+8 = 48
(4) The weight of the apples in both bags is the same, so we can ignore it.
(5) There are"
